channel,source,type,convo,direction,user,contact,text,tags,convoCreatedAt,itemCreatedAt,external,firstReplyTimeSecs,firstReplyTimeMins,firstReplyTimeHours
twitter,message,tweet,https://reply.buffer.com/conversations/W0w-zggXKwABh6OK,inbound,,Zirobyte_ZBNet (SysAdminNet),"""@firefox Hello! Why Firefox is so damn slow to sync the bookmarks... are 4 days i  cannot save new bookmarks beccause firefox is late to sync. so that ,  if you broswer is free is okay   it must  work better / fast in any  situation... you really need to fix / improve it on this""","EN,Not Fan Luv,Help Me",2018-07-16 06:44:27,2018-07-16 06:44:27,https://twitter.com/statuses/1018748178332635136,,,
twitter,message,tweet,https://reply.buffer.com/conversations/W0w3YQgXKwABh6MJ,inbound,,EcchiTerrorist (Hox 🇺🇸),""".@firefox this could be us but u playin""",EN,2018-07-16 06:12:48,2018-07-16 06:12:48,https://twitter.com/statuses/1018740211042447360,,,
twitter,message,tweet,https://reply.buffer.com/conversations/W0wr2C0wCwAB9_WS,inbound,,nicksolankiseo (Nikunj Solanki),"""A new add-on for @mozilla @firefox, which lets us view two tabs simultaneously, side-by-side. https://t.co/OuYgbyjIYq https://t.co/1yY0vpAMJC""","EN,No Action Taken",2018-07-16 05:23:35,2018-07-16 05:23:35,https://twitter.com/statuses/1018727825623343105,,,
twitter,message,tweet,https://reply.buffer.com/conversations/W0wmxAgXKwABh6HZ,inbound,,DreamSaturnYT (Connor Sordyl),"""Switching over from @googlechrome to @firefox was a great decision.""",EN,2018-07-16 05:01:56,2018-07-16 05:01:56,https://twitter.com/statuses/1018722377138569216,,,
twitter,message,tweet,https://reply.buffer.com/conversations/W0wc2xznbAABLeO0,inbound,,9037568 (Chris Carman),"""Never expected to say this:
@firefox has a better screen capture tool than @googlechrome.
Not good, mind you, but better.
#badsoftware""",EN,2018-07-16 04:19:38,2018-07-16 04:19:38,https://twitter.com/statuses/1018711734083825664,,,
twitter,message,tweet,https://reply.buffer.com/conversations/W0wb0wKamwABOQl8,inbound,,davepell (Dave Pell),"""@gazzellie @Hannahgadsby @netflix @firefox You have fully lived up to your last name!""",EN,2018-07-16 04:15:14,2018-07-16 04:15:14,https://twitter.com/statuses/1018710625499803657,,,
twitter,message,tweet,https://reply.buffer.com/conversations/W0wDDC0wCwAB9_LD,inbound,,linuxrebel (James Sparenberg),"""I miss the days when @LastPass actually worked on android.  I've both 7 and 8 and it hasn't worked in ages with @firefox since 54""","EN,Android,No Action Taken",2018-07-16 02:29:32,2018-07-16 02:29:32,https://twitter.com/statuses/1018684024544374784,,,
twitter,message,tweet,https://reply.buffer.com/conversations/W0v94wKamwABOQdY,inbound,,mdnja (MDN 更新情報),"""Web Authentication API - by takubokudori https://t.co/Mce8qsGK6H""","CZ,No Action Taken,WebDev",2018-07-16 02:07:21,2018-07-16 02:07:21,https://twitter.com/statuses/1018678441632296961,,,
twitter,message,tweet,https://reply.buffer.com/conversations/W0v9aQgXKwABh57K,inbound,,mypridewar (jonathan woods),"""Know what my favorite part about @firefox is? When I click the icon, ready to check a site quickly, then it says “updating” and makes me wait for thirty seconds. Yeah. That’s my favorite feature. #firefox #features #not""",EN,2018-07-16 02:05:27,2018-07-16 02:05:27,https://twitter.com/statuses/1018677965796749313,,,
twitter,message,tweet,https://reply.buffer.com/conversations/W0v4AQgXKwABh551,inbound,,AnastasiavanE (Anastasia✡van Egmond),"""@eddy_terstall Tiens, Zoe Varier https://t.co/1FBvFuy47v en Julien Daroles https://t.co/H8XWMhFNjP + Jean Louis Vuilermoz, voor t geval je eens goede Fransen/ acteurs comedien/s, realisateurs en of documentaire makers enz etc, hulp nodig hebt ..""",NL,2018-07-16 01:42:14,2018-07-16 01:42:14,https://twitter.com/statuses/1018672120719724545,,,
twitter,message,tweet,https://reply.buffer.com/conversations/W0vylBznbAABLeCe,inbound,,DwightStegall (Dwight L. Stegall),""".@firefox @mozilla I always thought you had to be smart to work for a browser company. Who was the bonehead that decided to release Quantum before all of the add-ons worked with it? Only about 25% do. Now I have to use v56 with updates disabled.  :(""",EN,2018-07-16 01:19:15,2018-07-16 01:19:15,https://twitter.com/statuses/1018666336694800384,,,
twitter,message,tweet,https://reply.buffer.com/conversations/W0vwNwKamwABOQZv,inbound,,WJNLLC (WJN وجن),""".@firefox @FirefoxESR

Firefox ESR

https://t.co/iggIG3iHz1

Version 60.1.0, first offered to ESR channel users on June 26, 2018

#Firefox #ESR #channel https://t.co/wOl2kKsUxB""",EN,2018-07-16 01:09:11,2018-07-16 01:09:11,https://twitter.com/statuses/1018663802697547778,,,
twitter,message,tweet,https://reply.buffer.com/conversations/W0vsqS0wCwAB9_EG,inbound,,DDXofficial (DDX),"""@MrCrazyBolt5150 @firefox if you're not using Firefox Nightly you're doing it wrong.

:P""","EN,Nightly,Fan Luv",2018-07-16 00:54:00,2018-07-16 00:54:00,https://twitter.com/statuses/1018659983678984192,,,
twitter,message,tweet,https://reply.buffer.com/conversations/W0vmcxznbAABLd-k,inbound,,lyssuelcalvet (Lyssuel Calvet),"""@paolo_filardi @omgubuntu @firefox 2""",support love,2018-07-16 00:27:30,2018-07-16 00:27:30,https://twitter.com/statuses/1018653312789483521,,,
twitter,message,tweet,https://reply.buffer.com/conversations/W0vmcxznbAABLd-k,outbound,Pravinraj LR,lyssuelcalvet (Lyssuel Calvet),"""@paolo_filardi @omgubuntu Thank you supporting open web! -PR🦊""",support love,2018-07-16 00:27:30,2018-07-16 02:46:45,https://twitter.com/statuses/1018688357419945984,8355,139.25,2.3208333333333333
twitter,message,tweet,https://reply.buffer.com/conversations/W0vmShznbAABLd-f,inbound,,gerbick (William McBee),"""@dominicjmaas @firefox @googlechrome @vivaldibrowser @microsoftgraph Only concern I have is that this does not seem to pay attention to private browsing - it'll end up on your timeline too. Not sure if I'm entirely right.""",EN,2018-07-16 00:26:48,2018-07-16 00:26:48,https://twitter.com/statuses/1018653138818084864,,,
twitter,message,tweet,https://reply.buffer.com/conversations/W0vjBy0wCwAB9_BK,inbound,,exmusica (Moebeus),"""@justbearcause @dominicjmaas @firefox @googlechrome @vivaldibrowser @microsoftgraph Not here, on @Opera v 56 (Developer). Looks like they are trying to steer people to the Opera add-ons site maybe?""","EN,Fan Luv",2018-07-16 00:12:53,2018-07-16 00:12:53,https://twitter.com/statuses/1018649637962567681,,,
twitter,message,tweet,https://reply.buffer.com/conversations/W0vinQKamwABOQVX,inbound,,OlldsMolls1 (D.j OlldsMolls),"""@firefox site is flashing and bad and weak and fully stopped and lag and heavy""",EN,2018-07-16 00:11:07,2018-07-16 00:11:07,https://twitter.com/statuses/1018649193525727232,,,
twitter,message,tweet,https://reply.buffer.com/conversations/W0vhVy0wCwAB9_Ag,inbound,,exmusica (Moebeus),"""@dominicjmaas @firefox @googlechrome @vivaldibrowser @microsoftgraph You're a prince, thanks for including the increasingly more awesome @vivaldibrowser right from the start👍👏👏""",EN,2018-07-16 00:05:41,2018-07-16 00:05:41,https://twitter.com/statuses/1018647825545080841,,,
twitter,message,tweet,https://reply.buffer.com/conversations/W0veVAKamwABOQT-,inbound,,chilloutjaden (jaden 🙈💞),"""It also does not work with Firefox versions that it used to. (2/2)

@firefox @FirefoxDevTools @mozilla""","EN,WebDev,No Action Taken",2018-07-15 23:52:51,2018-07-15 23:52:51,https://twitter.com/statuses/1018644593376743424,,,
twitter,message,tweet,https://reply.buffer.com/conversations/W0vdFhznbAABLd63,inbound,,pushmybuttonsca (PushMyButtonsCanada),"""@asadotzler @pcvs17 @firefox Doesn't do anything for the real slow performance was a better browser a year ago.""","EN,Not Fan Luv,Help Me",2018-07-15 23:47:32,2018-07-15 23:47:32,https://twitter.com/statuses/1018643254957338625,,,
twitter,message,tweet,https://reply.buffer.com/conversations/W0vbRhznbAABLd6N,inbound,,lukechesser (Luke Chesser),"""I don't know what changed recently, but the @firefox and @mozilla teams seem to have a renewed mission and are putting out really great stuff. Not easy to do, especially given their competition 👏""",EN,2018-07-15 23:39:49,2018-07-15 23:39:49,https://twitter.com/statuses/1018641312843788288,,,
twitter,message,tweet,https://reply.buffer.com/conversations/W0vZ-AgXKwABh5wV,inbound,,gazzellie (Ellie Pell),"""Thank you to @davepell for introducing me to @Hannahgadsby and her @netflix comedy special Nanette. I laughed, I cried, it lit a fire under my ass. I look forward to Next Draft everyday. I even switched to @firefox 😎😍""",EN,2018-07-15 23:34:14,2018-07-15 23:34:14,https://twitter.com/statuses/1018639908947230720,,,
twitter,message,tweet,https://reply.buffer.com/conversations/W0vW4hznbAABLd4o,inbound,,Echoy_Art (BlEnKiN112),"""firefox is the best browser  G E T   I  T    N O W https://t.co/CvQJqdCYQ7""","EN,Pending",2018-07-15 23:21:05,2018-07-15 23:21:05,https://twitter.com/statuses/1018636601679851520,,,
twitter,message,tweet,https://reply.buffer.com/conversations/W0vUKwKamwABOQQR,inbound,,Kunalxp (Kunal Patel),"""@firefox Firefox literally made cookie management clunkier and more steps to clear specific ones. How could anyone take FF seriously on this?""","EN,Help Me",2018-07-15 23:09:30,2018-07-15 23:09:30,https://twitter.com/statuses/1018633683840983041,,,
twitter,message,tweet,https://reply.buffer.com/conversations/W0vRzy0wCwAB9-7C,inbound,,dbartiromo (Dave),"""New bug in @firefox preventing @GarminFitness Connect from displaying properly in FF 61.0.1? Certainly appears that way. I delete cookies and still see this when logging in. Should be complete visual interface. No issues with Chrome. @asadotzler https://t.co/QTWDEcILaU""","EN,Help Me",2018-07-15 22:59:25,2018-07-15 22:59:25,https://twitter.com/statuses/1018631149470576642,,,
twitter,message,tweet,https://reply.buffer.com/conversations/W0vRzy0wCwAB9-7C,outbound,Rachel McGuigan,dbartiromo (Dave),"""@dbartiromo @GarminFitness @asadotzler Maybe ask SUMO about this issue? Firefox's community support team. They'll know what's up: https://t.co/oqr5e5kz8u  - RM https://t.co/kz8t3XLC7k""","EN,Help Me",2018-07-15 22:59:25,2018-07-16 22:46:01,https://twitter.com/statuses/1018990163182186496,85596,1426.6,23.776666666666664
twitter,message,tweet,https://reply.buffer.com/conversations/W0vPYQKamwABOQOM,inbound,,JoshCRandall2 (Proud To Be Throttled),"""@firefox Long as you're not google, I'll give it a shot.""",EN,2018-07-15 22:49:04,2018-07-15 22:49:04,https://twitter.com/statuses/1018628544606269440,,,
twitter,message,tweet,https://reply.buffer.com/conversations/W0vG_i0wCwAB9-33,inbound,,jivan_pal (Jivan Pal),"""@omgubuntu The @firefox style tabs are honestly gross. The original tapered ones look infinitely better IMO, and are pretty evocative of the brand, since, for whatever reason, no other major browser has a similar tab style.""","EN,Help Me",2018-07-15 22:13:16,2018-07-15 22:13:16,https://twitter.com/statuses/1018619533857382400,,,
twitter,message,tweet,https://reply.buffer.com/conversations/W0vGfggXKwABh5pV,inbound,,MikeConca (Mike Conca),"""@mike_conley @hashhar @firefox Thanks, @mike_conley. @wagnerand If you have quick moment, can you take a look at this?""",EN,2018-07-15 22:10:51,2018-07-15 22:10:51,https://twitter.com/statuses/1018618925087485952,,,
twitter,message,tweet,https://reply.buffer.com/conversations/W0vCQAgXKwABh5n5,inbound,,edgykenn (kenneth),"""@finklol @firefox @FxTestPilot  https://t.co/ec8FFSEXXb""",Fan Luv,2018-07-15 21:53:02,2018-07-15 21:53:02,https://twitter.com/statuses/1018614442576175104,,,
twitter,message,tweet,https://reply.buffer.com/conversations/W0vAGRznbAABLdwc,inbound,,RandomFFUser (Random Firefox User),"""@realmhsabbagh @omgubuntu It used to. Everybody hated it. You can still make FF have round edges https://t.co/kgJ2MbhPv6 #fxhelp""","EN,AoA,Not Fan Luv",2018-07-15 21:43:42,2018-07-15 21:43:42,https://twitter.com/statuses/1018612092620984320,,,
twitter,message,tweet,https://reply.buffer.com/conversations/W0u_kC0wCwAB9-1I,inbound,,RandomFFUser (Random Firefox User),"""@JoeR92 I know it's handy to have a FTP client in your browser but desktop apps like FileZilla do a much better job. Addons slow down your browser even when you are not using the addon. They also open security issues. Sorry I cannot help more. Hope this information is useful. #fxhelp""","EN,AoA,Fan Luv,Not Fan Luv,Help Me,Solved",2018-07-15 21:41:23,2018-07-15 21:41:23,https://twitter.com/statuses/1018611510057324547,,,
twitter,message,tweet,https://reply.buffer.com/conversations/W0u_QRznbAABLdwS,inbound,,mike_conley (Mike Conley :mconley 2aff2dd7-8a86-4a92-97c1-25515),"""@hashhar @firefox Maybe @MikeConca knows?""",EN,2018-07-15 21:40:14,2018-07-15 21:40:14,https://twitter.com/statuses/1018611219127848960,,,
twitter,message,tweet,https://reply.buffer.com/conversations/W0u-uS0wCwAB9-0v,inbound,,_whoan_ (Juan Eugenio Abadie),"""I knew it @firefox ! https://t.co/xkB1VzNaYg""",EN,2018-07-15 21:37:57,2018-07-15 21:37:57,https://twitter.com/statuses/1018610644059414528,,,
twitter,message,tweet,https://reply.buffer.com/conversations/W0u6xwKamwABOQHr,inbound,,paolo_filardi (Paolo Filardi),"""@omgubuntu I prefer @firefox""",EN,2018-07-15 21:21:09,2018-07-15 21:21:09,https://twitter.com/statuses/1018606419329929216,,,
twitter,message,tweet,https://reply.buffer.com/conversations/W0u5BQgXKwABh5ki,inbound,,hashhar (Ashhar Hasan),"""@firefox @mike_conley maybe you can raise this where needed? https://t.co/6E0zlEiRoN""",EN,2018-07-15 21:13:40,2018-07-15 21:13:40,https://twitter.com/statuses/1018604535445643266,,,
twitter,message,tweet,https://reply.buffer.com/conversations/W0u3kAgXKwABh5kI,inbound,,Twit_demolition (Nick Robinson),"""@firefox https://t.co/VXGLRE9Jwb
This is the address in the web browser. Thanks https://t.co/WQEao8GH1q""",EN,2018-07-15 21:07:27,2018-07-15 21:07:27,https://twitter.com/statuses/1018602969565102086,,,
twitter,message,tweet,https://reply.buffer.com/conversations/W0u29gKamwABOQGf,inbound,,Twit_demolition (Nick Robinson),"""@firefox  I want to report an issue with a page which hijacks the browser and prevents the user from being able to close the window. Where should I address this issue to? Thanks in advance. https://t.co/cmhAlOxRiR""",EN,2018-07-15 21:04:52,2018-07-15 21:04:52,https://twitter.com/statuses/1018602319351513094,,,
twitter,message,tweet,https://reply.buffer.com/conversations/W0u28wgXKwABh5jz,inbound,,skry (skry),"""Glad to see this. https://t.co/7zBRHrIban""","EN,Pending",2018-07-15 21:04:49,2018-07-15 21:04:49,https://twitter.com/statuses/1018602308853092352,,,
twitter,message,tweet,https://reply.buffer.com/conversations/W0u1rAgXKwABh5jU,inbound,,pbinspanish (mantecademani),"""@dominicjmaas @firefox @googlechrome @vivaldibrowser @microsoftgraph Any change you could add a blacklist feature for certain websites? I don't really want the timeline showing random searches, youtube homepage, etc...""","EN,Help Me",2018-07-15 20:59:22,2018-07-15 20:59:22,https://twitter.com/statuses/1018600937353596928,,,
twitter,message,tweet,https://reply.buffer.com/conversations/W0u1rAgXKwABh5jU,inbound,,pbinspanish (mantecademani),"""@dominicjmaas @firefox @googlechrome @vivaldibrowser @microsoftgraph Any chance you could add a blacklist feature for certain websites? I don't really want the timeline showing random searches, youtube homepage, etc...""","EN,Help Me",2018-07-15 20:59:22,2018-07-15 21:00:16,https://twitter.com/statuses/1018601163153920000,,,
twitter,message,tweet,https://reply.buffer.com/conversations/W0uyGgKamwABOQEu,inbound,,MkllSUMO (Mkll),"""@saeid @firefox @navid66 For now only English speaking territories.""",EN,2018-07-15 20:44:06,2018-07-15 20:44:06,https://twitter.com/statuses/1018597095299801095,,,
twitter,message,tweet,https://reply.buffer.com/conversations/W0upcy0wCwAB9-su,inbound,,devbarisk (Baris Karaderili),"""@ozan_unofficial hayirrrrrrrrrrrrrrrrr @firefox @MozillaTurkiye""",TR,2018-07-15 20:07:14,2018-07-15 20:07:14,https://twitter.com/statuses/1018587817709068288,,,
twitter,message,tweet,https://reply.buffer.com/conversations/W0unwhznbAABLdlf,inbound,,OufAliZayed (عبدالرحمن),"""The Besy browser @firefox 🔥 https://t.co/nGdXfIARQG""",EN,2018-07-15 20:00:00,2018-07-15 20:00:00,https://twitter.com/statuses/1018585994902343680,,,
twitter,message,tweet,https://reply.buffer.com/conversations/W0unjAgXKwABh5br,inbound,,Caspy7 (Caspy7),"""@mikehdt @googlechrome @firefox Firefox's dark mode is great. Their plan is to darken the entire UI, but for now I use a shortcut to do it (and web content).
Let me know if you'd like more info on how.""","EN,Fan Luv,Help Me",2018-07-15 19:59:05,2018-07-15 19:59:05,https://twitter.com/statuses/1018585766421770256,,,
twitter,message,tweet,https://reply.buffer.com/conversations/W0uiYRznbAABLdjJ,inbound,,Philips_27 (Philip Konkov),"""@FirefoxFocus is interestin' but strange thin' in one time. It's looks like somethin' needs but I think it's not. Unlike full @firefox there is no real browser settings, addons support and working with 1+ tab. I really don't know for what we need Focus. But he's look cute.""","EN,Firefox Focus,Fan Luv,Help Me",2018-07-15 19:37:04,2018-07-15 19:37:04,https://twitter.com/statuses/1018580224626262016,,,
twitter,message,tweet,https://reply.buffer.com/conversations/W0uiYRznbAABLdjJ,outbound,Sharath C George,Philips_27 (Philip Konkov),"""@Philips_27 Hi. Firefox Focus is built to have privacy out of the box without additional configuration. It has inbuilt tracking protection and content blocking. You can use Firefox Focus as a standalone browser when you need more privacy or as content blocker for Safari on iOS devices ~SCG""","EN,Firefox Focus,Fan Luv,Help Me",2018-07-15 19:37:04,2018-07-16 06:02:05,https://twitter.com/statuses/1018737516420190208,37501,625.0166666666667,10.416944444444445
twitter,message,tweet,https://reply.buffer.com/conversations/W0uiYRznbAABLdjJ,inbound,,Philips_27 (Philip Konkov),"""@firefox Hello! Thanks for answer, now I understand. :)""","EN,Firefox Focus,Fan Luv,Help Me",2018-07-15 19:37:04,2018-07-16 19:42:51,https://twitter.com/statuses/1018944065944129537,,,
twitter,message,tweet,https://reply.buffer.com/conversations/W0ug5wgXKwABh5ZP,inbound,,lin79 (Linda Franken🐰),"""@KPNwebcare Andere browsers hebben hetzelfde probleem(normaal chrome, ook op firefox en explorer geprobeerd). Youtube weet ik niet, ben unmiddels maar binnen tv gaan kijken. Zal 't straks of morgen proberen.""","NL,FireTV,Help Me",2018-07-15 19:30:36,2018-07-15 19:30:36,https://twitter.com/statuses/1018578597496414209,,,
