name,percentage,conversations
EN,42.48,8572
Help Me,8.67,1750
No Action Taken,7.34,1481
NL,5.78,1167
Fan Luv,5.78,1166
TR,3.78,763
AoA,3.46,699
Pending,2.81,568
ES,1.91,385
Android,1.89,382
FR,1.84,371
Uncategorized,1.72,348
CZ,1.31,264
WebDev,1.26,254
Press Release,1.01,203
Not Fan Luv,0.97,196
RAM,0.78,158
PT-BR,0.74,150
Video,0.7,141
Firefox iOS,0.68,138
Firefox Focus,0.51,103
DE,0.43,87
Nightly,0.38,76
Crashes,0.35,71
Brand Logo,0.25,51
contains_photo,0.24,48
Cert Issues,0.23,47
Community,0.21,43
IT,0.2,40
Bookmarks,0.16,33
Solved,0.15,31
Controversial,0.14,28
Security,0.14,28
Add-ons,0.12,24
FireTV,0.12,24
russian,0.1,21
spam,0.1,20
Ignore,0.07,15
DoH,0.07,14
feature request,0.06,13
webcompat,0.06,12
Klar,0.05,10
Test Pilot,0.04,9
Bug,0.04,9
Social Campaign,0.04,9
New Release,0.04,8
PL,0.04,8
Third Party Issues,0.03,7
employee,0.03,7
RSS,0.03,7
Suggestions,0.03,6
Advocacy,0.02,5
iOS,0.02,5
hate tweets,0.02,5
userchrome,0.02,5
Linux,0.02,5
Accessibility,0.02,5
Privacy,0.02,4
JP,0.02,4
marketing,0.02,4
Hindi,0.02,4
thunderbird,0.02,4
DevEd,0.01,3
Sync,0.01,3
Politics,0.01,3
slow,0.01,3
NetNeutrality,0.01,3
Tor,0.01,3
firefox scout,0.01,2
bosnian,0.01,2
Pocket,0.01,2
playlistLive,0.01,2
esr,0.01,2
tabs,0.01,2
cookies,0.01,2
MacOS,0.01,2
Advertisment,0.01,2
arabic,0.01,2
chinese,0.01,2
sponsored content,0,1
Ukrainian,0,1
Problems,0,1
website,0,1
Theme,0,1
plug-ins,0,1
turkish,0,1
zRetiredTagduplicat,0,1
performance,0,1
dataloss,0,1
userlove,0,1
firefox android,0,1
Rust,0,1
support love,0,1
firefox oS,0,1
Audio,0,1
Bug Test,0,1
AV,0,1
Focus,0,1
Phishing,0,1
Search Engine,0,1
Rs,0,1
l10n,0,1
MDN,0,1
SeaMonkey,0,1
IoT Mozilla Things,0,1
