channel,source,type,convo,direction,user,contact,text,tags,convoCreatedAt,itemCreatedAt,external,firstReplyTimeSecs,firstReplyTimeMins,firstReplyTimeHours
twitter,message,tweet,https://reply.buffer.com/conversations/W5A5F4xZmgAB0bqk,inbound,,MozillaZineFr (MozillaZine-fr.org),"""Sortie de Tor Browser 8.0 de @torproject basé sur @Firefox ESR 60 avec nouvelle visite guidée au 1er lancement https://t.co/IrEyLmAVVZ https://t.co/65w873Vy3S""",FR,2018-09-05 20:14:14,2018-09-05 20:14:14,https://twitter.com/statuses/1037433748076277760,,,
twitter,message,tweet,https://reply.buffer.com/conversations/W5A41oxZmgAB0bqS,inbound,,dascritch (Xavier Mouto[N]-Dubosc),"""@BurgerQuizOff Non, Ublock origin, avec @firefox privacy shield""",FR,2018-09-05 20:13:09,2018-09-05 20:13:09,https://twitter.com/statuses/1037433475165573122,,,
twitter,message,tweet,https://reply.buffer.com/conversations/W5A4t9Ej2gABW3FF,inbound,,MozillaZineFr (MozillaZine-fr.org),"""Sortie de Tor Browser 8.0 de @torproject basé sur @Firefox ESR 60 avec nouvelle visite guide au 1er lancement https://t.co/IrEyLmAVVZ https://t.co/Q141EfFHNg""",FR,2018-09-05 20:12:38,2018-09-05 20:12:38,https://twitter.com/statuses/1037433344668123138,,,
twitter,message,tweet,https://reply.buffer.com/conversations/W5A30si6bQABtrnG,inbound,,DeprecatedRowin (Rowin),"""@zvorkapicos @firefox https://t.co/VXSvDhUZWy""",,2018-09-05 20:08:49,2018-09-05 20:08:49,https://twitter.com/statuses/1037432382377340928,,,
twitter,message,tweet,https://reply.buffer.com/conversations/W5A2Fci6bQABtrkg,inbound,,CJohnsonBago (Collin Johnson),"""@alistaire @firefox https://t.co/89yU3TUhWS""",,2018-09-05 20:01:25,2018-09-05 20:01:25,https://twitter.com/statuses/1037430520144060416,,,
twitter,message,tweet,https://reply.buffer.com/conversations/W5A2EtEj2gABW3Ax,inbound,,juanfeorar (Juan Ordóñez),"""En esa nueva versión de @googlechrome las pestañas quedaron tan @firefox""",ES,2018-09-05 20:01:22,2018-09-05 20:01:22,https://twitter.com/statuses/1037430507666124800,,,
twitter,message,tweet,https://reply.buffer.com/conversations/W5A2EdEj2gABW3At,inbound,,asadotzler (Asa Dotzler),"""@LencsikeD @firefox What a11y software do you use? Is it Jaws perhaps? What version?""","EN,Accessibility,Crashes,Help Me",2018-09-05 20:01:19,2018-09-05 20:01:19,https://twitter.com/statuses/1037430498274959360,,,
twitter,message,tweet,https://reply.buffer.com/conversations/W5A2EdEj2gABW3At,inbound,,asadotzler (Asa Dotzler),"""@LencsikeD @firefox Can you so something for me? Can you load the address about:crashes and reply to me with the most recent couple of crash reports (presuming there are crash reports for your recent trouble.) Thanks.""","EN,Accessibility,Crashes,Help Me",2018-09-05 20:01:19,2018-09-05 20:12:45,https://twitter.com/statuses/1037433374455914496,,,
twitter,message,tweet,https://reply.buffer.com/conversations/W5A1n4xZmgAB0blS,inbound,,TheMinimumDose (R. D. Frable),"""@twittersupport When tweets are embedded on other sites, I often have to turn off @firefox's tracking protection to be able to see them properly. Are you working with @mozilla on this?""",EN,2018-09-05 19:59:09,2018-09-05 19:59:09,https://twitter.com/statuses/1037429952868765697,,,
twitter,message,tweet,https://reply.buffer.com/conversations/W5A1ddlF2gABMcRY,inbound,,kuba77cz (Kuba),"""@latestlinuxnews @firefox @googlechrome Why @googlechrome when there is #Chromium?""",EN,2018-09-05 19:58:04,2018-09-05 19:58:04,https://twitter.com/statuses/1037429677533671425,,,
twitter,message,tweet,https://reply.buffer.com/conversations/W5A1R4xZmgAB0bk2,inbound,,DanielMarquard (Daniel Marquard),"""@mozilla @firefox Hi! 👋🏻 We’re having some trouble locating the file for CSS filters in your source code. Could one of your devs let us know where to find it? Thanks!""","EN,No Action Taken",2018-09-05 19:57:44,2018-09-05 19:57:44,https://twitter.com/statuses/1037429595694346241,,,
twitter,message,tweet,https://reply.buffer.com/conversations/W5Az1oxZmgAB0bi-,inbound,,alistaire (Edward Visel),"""ooh, I love the keyword search highlighting in the new @firefox https://t.co/XiXJSmezLj""","EN,Fan Luv",2018-09-05 19:51:50,2018-09-05 19:51:50,https://twitter.com/statuses/1037428108176044033,,,
twitter,message,tweet,https://reply.buffer.com/conversations/W5Az1oxZmgAB0bi-,inbound,,alistaire (Edward Visel),"""@CJohnsonBago @firefox always""","EN,Fan Luv",2018-09-05 19:51:50,2018-09-05 20:02:17,https://twitter.com/statuses/1037430740106006529,,,
twitter,message,tweet,https://reply.buffer.com/conversations/W5AyvNEj2gABW29H,inbound,,amDude1848 (Peter),"""@latestlinuxnews @omgubuntu @firefox @googlechrome Chromium""",EN,2018-09-05 19:47:07,2018-09-05 19:47:07,https://twitter.com/statuses/1037426921511051264,,,
twitter,message,tweet,https://reply.buffer.com/conversations/W5AyodEj2gABW29E,inbound,,Nick_Braker (Author - Nick A Braker),"""Everyone has opinions. Here's mine: it's time to stop using any browser that won't protect your privacy by default.

Opinion: Use @firefox

#browser #Mozilla #Chrome #
#Firefox #ThursdayThoughts
#KindnessMatters #Security

https://t.co/ubwH6u0LGK""","EN,No Action Taken,Press Release,TrackingProtection",2018-09-05 19:46:41,2018-09-05 19:46:41,https://twitter.com/statuses/1037426811842555909,,,
twitter,message,tweet,https://reply.buffer.com/conversations/W5AybIxZmgAB0bhU,inbound,,LencsikeD (Lencsike David),"""@firefox Well, I got it.. without wanting to. It just upgraded without my permission.
I am a blind user, so the newest version of Firefox doesn't work so well for me.
Problem is, I use Twitter with Firefox, and now it keeps giving me trouble. Hangs, crashes.
Any help would be appreciated.""","EN,Help Me,Accessibility",2018-09-05 19:45:48,2018-09-05 19:45:48,https://twitter.com/statuses/1037426589729021952,,,
twitter,message,tweet,https://reply.buffer.com/conversations/W5AybIxZmgAB0bhU,inbound,,LencsikeD (Lencsike David),"""@asadotzler @firefox Using JAWS 2018 - worked just fine til Firefox's latest update. Now it is giving me hell.""","EN,Help Me,Accessibility",2018-09-05 19:45:48,2018-09-05 20:09:43,https://twitter.com/statuses/1037432608324558848,,,
twitter,message,tweet,https://reply.buffer.com/conversations/W5Ax9Mi6bQABtrgM,inbound,,Javi (Javi),"""@timonus @googlechrome @firefox Same""",EN,2018-09-05 19:43:47,2018-09-05 19:43:47,https://twitter.com/statuses/1037426082796855296,,,
twitter,message,tweet,https://reply.buffer.com/conversations/W5Ax68i6bQABtrgL,inbound,,YetAnotherGreg (Greg),"""@ssaunier @firefox Le jour des 10 ans de Chrome, pas cool !""",FR,2018-09-05 19:43:38,2018-09-05 19:43:38,https://twitter.com/statuses/1037426047640330241,,,
twitter,message,tweet,https://reply.buffer.com/conversations/W5Ax1dEj2gABW28m,inbound,,jsixis (Jsixis),"""@firefox you left off arrogant support which is why I will never use it again.""",EN,2018-09-05 19:43:16,2018-09-05 19:43:16,https://twitter.com/statuses/1037425954015064066,,,
twitter,message,tweet,https://reply.buffer.com/conversations/W5AxsIxZmgAB0bgm,inbound,,FabioRNobrega (Fábio R. Nóbrega),"""@latestlinuxnews @omgubuntu @firefox @googlechrome vivaldi for linux ... #vivaldi #linux""",,2018-09-05 19:42:39,2018-09-05 19:42:39,https://twitter.com/statuses/1037425797940895745,,,
twitter,message,tweet,https://reply.buffer.com/conversations/W5AxkNEj2gABW28X,inbound,,Didac_80 (Diego Mérida López),"""@latestlinuxnews @omgubuntu @firefox @googlechrome Firefox""",EN,2018-09-05 19:42:07,2018-09-05 19:42:07,https://twitter.com/statuses/1037425663857307648,,,
twitter,message,tweet,https://reply.buffer.com/conversations/W5AxatEj2gABW28K,inbound,,Jennife53911971 (Jennifer Shelton),"""@VirgilShelton @firefox @googlechrome So is that a no then?""",EN,2018-09-05 19:41:29,2018-09-05 19:41:29,https://twitter.com/statuses/1037425505140494336,,,
twitter,message,tweet,https://reply.buffer.com/conversations/W5AxatEj2gABW28M,inbound,,purpleyish (argh),"""Oh My God get 'em""",EN,2018-09-05 19:41:29,2018-09-05 19:41:29,https://twitter.com/statuses/1037425506348662784,,,
twitter,message,tweet,https://reply.buffer.com/conversations/W5AxTtlF2gABMcNH,inbound,,UnDemiCoeurNoir (Gérald Maruccia),"""@latestlinuxnews @firefox @googlechrome Firefox mostly,
chromium-web-browser to make « web-apps ».

Why using a proprietary browser if open-source ones do the job ?""",EN,2018-09-05 19:41:00,2018-09-05 19:41:00,https://twitter.com/statuses/1037425385070374913,,,
twitter,message,tweet,https://reply.buffer.com/conversations/W5AwydEj2gABW27Q,inbound,,PLayerINF (PLayerPerpetual),"""@firefox I can't upload images to sites and it's a lot slower than google chrome.
But Microsoft edge is worse.""",EN,2018-09-05 19:38:49,2018-09-05 19:38:49,https://twitter.com/statuses/1037424831967514626,,,
twitter,message,tweet,https://reply.buffer.com/conversations/W5Aw98i6bQABtrfA,inbound,,rob11235 (Rob),"""@latestlinuxnews @omgubuntu @firefox @googlechrome I use both, actually. Just use Firefox more.""",EN,2018-09-05 19:38:44,2018-09-05 19:38:44,https://twitter.com/statuses/1037424813491421184,,,
twitter,message,tweet,https://reply.buffer.com/conversations/W5AwmNEj2gABW27G,inbound,,pata_de_jaguar (pata_de_jaguar),"""@latestlinuxnews @firefox @googlechrome @opera, @firefox, #Chromium, @googlechrome, @vivaldibrowser https://t.co/NSlOVhQQI5""",,2018-09-05 19:37:59,2018-09-05 19:37:59,https://twitter.com/statuses/1037424624559112192,,,
twitter,message,tweet,https://reply.buffer.com/conversations/W5AwmNEj2gABW27H,inbound,,sirber83 (Sirber),"""Sur @Firefox, le module provient directement de https://t.co/rciOonQMf9. Plus safe?""",FR,2018-09-05 19:37:59,2018-09-05 19:37:59,https://twitter.com/statuses/1037424626094297089,,,
twitter,message,tweet,https://reply.buffer.com/conversations/W5AweNlF2gABMcMA,inbound,,yinsen_ (ẙ̯̼̱͎͖̻ͥ͞an̸̷̝̣̲͈᷉ͥ͒̓̂s),"""@latestlinuxnews @omgubuntu @firefox @googlechrome Both.""",EN,2018-09-05 19:37:27,2018-09-05 19:37:27,https://twitter.com/statuses/1037424491817783296,,,
twitter,message,tweet,https://reply.buffer.com/conversations/W5AweNlF2gABMcMA,inbound,,yinsen_ (ẙ̯̼̱͎͖̻ͥ͞an̸̷̝̣̲͈᷉ͥ͒̓̂s),"""@latestlinuxnews @omgubuntu @firefox @googlechrome Not chrome, chromium.""",EN,2018-09-05 19:37:27,2018-09-05 19:38:03,https://twitter.com/statuses/1037424639042088966,,,
twitter,message,tweet,https://reply.buffer.com/conversations/W5AwctlF2gABMcL9,inbound,,mmmandel (Lawrence Mandel),"""Yes, there are people who still rely on Windows XP and Vista. No, this is not a torch that @firefox should continue to carry. Happy to see this as the product continues to make big leaps forward this year.""",EN,2018-09-05 19:37:22,2018-09-05 19:37:22,https://twitter.com/statuses/1037424468233084928,,,
twitter,message,tweet,https://reply.buffer.com/conversations/W5AwX9lF2gABMcL5,inbound,,cyxob (Dainis Šantars),"""@latestlinuxnews @omgubuntu @firefox @googlechrome Firefox Nightly""","EN,Nightly",2018-09-05 19:36:59,2018-09-05 19:36:59,https://twitter.com/statuses/1037424372657610752,,,
twitter,message,tweet,https://reply.buffer.com/conversations/W5AwKtEj2gABW26q,inbound,,pereiragoncalo (goncalo pereira),"""My default browser is @firefox but I need to keep a copy of Chrome because of this.""",EN,2018-09-05 19:36:10,2018-09-05 19:36:10,https://twitter.com/statuses/1037424165802975233,,,
twitter,message,tweet,https://reply.buffer.com/conversations/W5AwCdEj2gABW26g,inbound,,DanielleSATM (Danielle Solzman @ TIFF18),"""Firefox keeps crashing on me so why do I need to switch back? This was also a sponsored tweet.""","EN,No Action Taken",2018-09-05 19:35:37,2018-09-05 19:35:37,https://twitter.com/statuses/1037424028288475136,,,
twitter,message,tweet,https://reply.buffer.com/conversations/W5AwCNEj2gABW26e,inbound,,LakshitBajaj (Lakshit Bajaj),"""@krazyfrog Check out @firefox’s Tweet: https://t.co/1ntmLB77kT""","EN,Pending",2018-09-05 19:35:35,2018-09-05 19:35:35,https://twitter.com/statuses/1037424019987943426,,,
twitter,message,tweet,https://reply.buffer.com/conversations/W5Av3si6bQABtrdx,inbound,,Manujoyking (Manujoy),"""@latestlinuxnews @omgubuntu @firefox @googlechrome Firefox""",EN,2018-09-05 19:34:53,2018-09-05 19:34:53,https://twitter.com/statuses/1037423844666028034,,,
twitter,message,tweet,https://reply.buffer.com/conversations/W5AvktlF2gABMcK8,inbound,,KeenGaze (gab.ai/KeenGaze),"""@latestlinuxnews @firefox @googlechrome could at least put Chromium or Brave on there as a third option, CMON!""","EN,No Action Taken",2018-09-05 19:33:37,2018-09-05 19:33:37,https://twitter.com/statuses/1037423524259016711,,,
twitter,message,tweet,https://reply.buffer.com/conversations/W5AvW4xZmgAB0beL,inbound,,feoh (∞Christopher Patti∞),"""@latestlinuxnews @omgubuntu @firefox @googlechrome #Firefox. Because having a fully open source browser is super important for the ecosystem.""",EN,2018-09-05 19:32:42,2018-09-05 19:32:42,https://twitter.com/statuses/1037423294566330368,,,
twitter,message,tweet,https://reply.buffer.com/conversations/W5AvNtlF2gABMcKj,inbound,,utdream (Jordan Michaels),"""@latestlinuxnews @firefox @googlechrome I've been using @brave recently.""","EN,No Action Taken",2018-09-05 19:32:05,2018-09-05 19:32:05,https://twitter.com/statuses/1037423140828196864,,,
twitter,message,tweet,https://reply.buffer.com/conversations/W5Au3si6bQABtrcv,inbound,,binary_free (FreeBinary),"""@WellesEgni @JoostNiemoller @Marssieboy En als je een andere browser gebruikt dan censuur machines chrome en Firefox? Werkt prima op Brave, prima in terminal.""","NL,No Action Taken",2018-09-05 19:30:27,2018-09-05 19:30:27,https://twitter.com/statuses/1037422729992052736,,,
twitter,message,tweet,https://reply.buffer.com/conversations/W5Audci6bQABtrcR,inbound,,latestlinuxnews (Latest Linux News 2012),"""Which Web browser do you use on #Linux: @firefox or @googlechrome? Pls RT!""",EN,2018-09-05 19:28:53,2018-09-05 19:28:53,https://twitter.com/statuses/1037422332120326149,,,
twitter,message,tweet,https://reply.buffer.com/conversations/W5AuUtlF2gABMcJy,inbound,,latestlinuxnews (Latest Linux News 2012),"""Which Web browser do you use on #Linux: @firefox or @googlechrome? Pls RT! https://t.co/f4NnnwsRuk""",EN,2018-09-05 19:28:18,2018-09-05 19:28:18,https://twitter.com/statuses/1037422186062143488,,,
twitter,message,tweet,https://reply.buffer.com/conversations/W5AtXsi6bQABtra-,inbound,,Fjoerfoks (Wim Benes 🦊),"""Yup, ik bin wer by de tiid mei @firefox!
Noch gjin Fryske Firefox? 
Dizze is te downloaden fan https://t.co/LcvHwSmffY ôf. https://t.co/EJUX7QBi9U""",,2018-09-05 19:24:13,2018-09-05 19:24:13,https://twitter.com/statuses/1037421160990998529,,,
twitter,message,tweet,https://reply.buffer.com/conversations/W5ArMNlF2gABMcFe,inbound,,SegestarDoNando (Fernando Insider 🤜🐞),"""@firefox S2""",,2018-09-05 19:14:55,2018-09-05 19:14:55,https://twitter.com/statuses/1037418821206847488,,,
twitter,message,tweet,https://reply.buffer.com/conversations/W5AqudEj2gABW2z3,inbound,,KendiKendimlem (Kendim),"""Firefox Windows'tan kurtulmaya çalışırken sggshdhdhs https://t.co/tBMJiCKLlk""",TR,2018-09-05 19:12:46,2018-09-05 19:12:46,https://twitter.com/statuses/1037418277864136704,,,
twitter,message,tweet,https://reply.buffer.com/conversations/W5AqZ4xZmgAB0bXY,inbound,,LencsikeD (Lencsike David),"""Dear @firefox @mozilla My system has just upgraded to the latest Firefox (without my permission).
I am using JAWS for Windows Screen Reading Software, 2018 version.
Problem: it keeps crashing, doesn't respond to anything or just hangs. Tried installing ESP version. Same thing. 😒""","EN,Accessibility",2018-09-05 19:11:34,2018-09-05 19:11:34,https://twitter.com/statuses/1037417977904345088,,,
twitter,message,tweet,https://reply.buffer.com/conversations/W5Apc9lF2gABMcBx,inbound,,_csss (Cassius),"""@DoisUrsos @googlebrasil @opera @FirefoxBrasil atenção aos envolvidos: vamos trabalhar nisso aí!""",PT-BR,2018-09-05 19:07:30,2018-09-05 19:07:30,https://twitter.com/statuses/1037416953323900929,,,
twitter,message,tweet,https://reply.buffer.com/conversations/W5ApZci6bQABtrT-,inbound,,Caspy7 (Caspy7),"""@dcaravana @RandomFFUser @mike_conley @firefox May have been this which was fixed in 62:
https://t.co/VUH4eJV82A
https://t.co/xHRrR2vnTv""",EN,2018-09-05 19:07:15,2018-09-05 19:07:15,https://twitter.com/statuses/1037416888429682693,,,
twitter,message,tweet,https://reply.buffer.com/conversations/W5AozdEj2gABW2vP,inbound,,katiemccann (Katie McCann),"""@firefox Won't switch to FF until you support full on browsing profiles like Chrome has.""","EN,Fan Luv",2018-09-05 19:04:45,2018-09-05 19:04:45,https://twitter.com/statuses/1037416258805751808,,,
twitter,message,tweet,https://reply.buffer.com/conversations/W5AomNlF2gABMb_W,inbound,,RandomFFUser (Random Firefox User),"""@lucpotage @Google Sad to see you go :( Maybe try the Chrome Material theme for Firefox https://t.co/WHf5tf3bn4 #fxhelp""","EN,AoA",2018-09-05 19:03:42,2018-09-05 19:03:42,https://twitter.com/statuses/1037415994963238917,,,
twitter,message,tweet,https://reply.buffer.com/conversations/W5AoRdEj2gABW2t6,inbound,,_7FFY_ (7FFY),"""@ssaunier @firefox next good move is to change your laptop ;)""",EN,2018-09-05 19:02:28,2018-09-05 19:02:28,https://twitter.com/statuses/1037415687390732288,,,
twitter,message,tweet,https://reply.buffer.com/conversations/W5AoIIxZmgAB0bSe,inbound,,VirgilShelton (Virgil Shelton),"""New web browser loveliness from both @firefox and @googlechrome #FTW #web!!""",EN,2018-09-05 19:01:52,2018-09-05 19:01:52,https://twitter.com/statuses/1037415534390738945,,,
twitter,message,tweet,https://reply.buffer.com/conversations/W5Anf9Ej2gABW2tB,inbound,,m0rdisc0 (Henk Peter),"""@Rabobank Ik heb Firefox geinstalleerd en krijg dezelfde foutmelding als met Safari....""",NL,2018-09-05 18:58:57,2018-09-05 18:58:57,https://twitter.com/statuses/1037414801851465728,,,
twitter,message,tweet,https://reply.buffer.com/conversations/W5AmudEj2gABW2sM,inbound,,leandersnijders (Leander Snijders 💎),"""@firefox Switched from Netscape to Firefox to Chrome. Switched back to Firefox and I like it! Have been a (web)developer for about 25 years. Have been using all M$ browsers for bugtesting their “issues”, but it’s getting better 😁 Mozilla is still alive! Great to combine with Duckduckgo.""","EN,Fan Luv",2018-09-05 18:55:53,2018-09-05 18:55:53,https://twitter.com/statuses/1037414027775930368,,,
twitter,message,tweet,https://reply.buffer.com/conversations/W5AmGdEj2gABW2rV,inbound,,killermonkey (Best-At-Farts),"""@OSTIFofficial So Chromium or @firefox""",EN,2018-09-05 18:53:13,2018-09-05 18:53:13,https://twitter.com/statuses/1037413356305633280,,,
twitter,message,tweet,https://reply.buffer.com/conversations/W5AmGNEj2gABW2rT,inbound,,liltimbsyuh (Timbs),"""@firefox UwU""",No Action Taken,2018-09-05 18:53:11,2018-09-05 18:53:11,https://twitter.com/statuses/1037413351872180227,,,
twitter,message,tweet,https://reply.buffer.com/conversations/W5Ak29Ej2gABW2ph,inbound,,The_ArchGeek (ArchGeek),"""@firefox @kschwabable Go with @brave if you value your privacy!""","EN,No Action Taken",2018-09-05 18:47:18,2018-09-05 18:47:18,https://twitter.com/statuses/1037411868997050368,,,
twitter,message,tweet,https://reply.buffer.com/conversations/W5Ak2oxZmgAB0bOV,inbound,,hodgesc (Chuck Hodges),"""I updated my @Google #Chrome browser to the latest version.  It seems pretty fast and smooth, but the new tab shapes keep fooling me.  I didn't realize how much I relied on them to tell me if I was in Chrome or @Firefox.""","EN,Help Me",2018-09-05 18:46:29,2018-09-05 18:46:29,https://twitter.com/statuses/1037411662511435776,,,
twitter,message,tweet,https://reply.buffer.com/conversations/W5AjIIxZmgAB0bMg,inbound,,denguydj (D),"""@mozilla @firefox if this stupid pocket thing is not off my browser by the next update I am Uninstalling.""","EN,No Action Taken,Help Me,Pocket",2018-09-05 18:40:32,2018-09-05 18:40:32,https://twitter.com/statuses/1037410165916676096,,,
twitter,message,tweet,https://reply.buffer.com/conversations/W5AjIIxZmgAB0bMg,outbound,Jens Hausdorf,denguydj (D),"""@denguydj @mozilla Hi, you can disable Pocket as described here: https://t.co/YKXtwx4fRP -JH""","EN,No Action Taken,Help Me,Pocket",2018-09-05 18:40:32,2018-09-05 19:03:44,https://twitter.com/statuses/1037416004748554241,1392,23.2,0.3866666667
twitter,message,tweet,https://reply.buffer.com/conversations/W5Ai5YxZmgAB0bME,inbound,,BobJoe56521809 (Bob Joe),"""@firefox google chrome is better""","EN,Not Fan Luv",2018-09-05 18:39:33,2018-09-05 18:39:33,https://twitter.com/statuses/1037409918356254722,,,
twitter,message,tweet,https://reply.buffer.com/conversations/W5AiK9lF2gABMb26,inbound,,waldobroodryk (Waldo),"""@googlechrome @firefox @w3c will we ever have a standardized approach for Select fields so that #webdesigners can truly customize that input experience without crazy workarounds/hacks on hacks on hacks? 😢🙏🙇‍♂️""",EN,2018-09-05 18:36:27,2018-09-05 18:36:27,https://twitter.com/statuses/1037409137230008321,,,
twitter,message,tweet,https://reply.buffer.com/conversations/W5AhdYxZmgAB0bKf,inbound,,Shift_Miller (Miller),"""If this is accurate, I will be giving Firefox a try instead of Chrome.""",EN,2018-09-05 18:33:24,2018-09-05 18:33:24,https://twitter.com/statuses/1037408372834881537,,,
twitter,message,tweet,https://reply.buffer.com/conversations/W5AgtMi6bQABtrI4,inbound,,tufant (Tufan Tunç),"""Firefox'un bugün yayınlanan sürümünde CSS shape desteği ve developer tool'unda shape path editor özelliği var. Shape Path Editor: https://t.co/gGLSZy9oJT""","TR,No Action Taken,WebDev",2018-09-05 18:30:01,2018-09-05 18:30:01,https://twitter.com/statuses/1037407521273794560,,,
twitter,message,tweet,https://reply.buffer.com/conversations/W5AgfNlF2gABMb1F,inbound,,yoshithemajor (Andrew 🌐),"""@SnazzyQ Already on @firefox and plan on sticking with it for several years with how much better it is than chrome""","EN,Help Me",2018-09-05 18:29:16,2018-09-05 18:29:16,https://twitter.com/statuses/1037407330630094848,,,
twitter,message,tweet,https://reply.buffer.com/conversations/W5AfvMi6bQABtrIB,inbound,,iamsapegin (Artem Sapegin ☕),"""New @googlechrome UI is soooo 2000s (just after border-radius was invented), I’m so glad I’m using @firefox as my default browser now. https://t.co/kRRaKhXzCP""",EN,2018-09-05 18:26:03,2018-09-05 18:26:03,https://twitter.com/statuses/1037406520437342208,,,
twitter,message,tweet,https://reply.buffer.com/conversations/W5AfIdEj2gABW2i9,inbound,,marsman2020 (Andrew Bingham),"""@MePadouga @eigenbom @firefox @DuckDuckGo @firefox has a new feature which is supposed to make DNS more secure, but actually sends all of everyone's DNS requests through one provider (Cloudflare in the US).  This is problematic as well.  https://t.co/22ZQPOWzdl.""",EN,2018-09-05 18:23:28,2018-09-05 18:23:28,https://twitter.com/statuses/1037405873209917440,,,
twitter,message,tweet,https://reply.buffer.com/conversations/W5Aeb4xZmgAB0bHS,inbound,,CoffeyCJ (CJ),"""@firefox @kschwabable I use Firefox on my Mac and it's super quick and nice, but on my PC is super slow compared to chrome. Started using waterfox instead 🤷‍♂️""","EN,Not Fan Luv,Help Me,No Action Taken",2018-09-05 18:20:30,2018-09-05 18:20:30,https://twitter.com/statuses/1037405126909149184,,,
twitter,message,tweet,https://reply.buffer.com/conversations/W5Ad-IxZmgAB0bGk,inbound,,DoisUrsos (Dois Ursos),"""@_csss @googlebrasil @opera Mas tenho vários apps no Chrome q ainda nao chegaram no meu querido @FirefoxBrasil""",PT-BR,2018-09-05 18:18:29,2018-09-05 18:18:29,https://twitter.com/statuses/1037404617972297728,,,
twitter,message,tweet,https://reply.buffer.com/conversations/W5Adk9Ej2gABW2hP,inbound,,vavrusam (Marek Vavrusa),"""@kahingcheung @firefox Just be happy with what you get. I get ads for ISPs I can't get, bizarre pizza thing called DiGiornio or something, and a deodorant for men reducing ""the risk of irritation"".""",EN,2018-09-05 18:16:50,2018-09-05 18:16:50,https://twitter.com/statuses/1037404201318408192,,,
twitter,message,tweet,https://reply.buffer.com/conversations/W5AcgoxZmgAB0bEI,inbound,,MarcoBorger1 (Marco Borger),"""Firefox 62 maakt trackingbescherming beter vindbaar zie https://t.co/pXwH2HEsV1 https://t.co/VTMW921gIi""",NL,2018-09-05 18:12:07,2018-09-05 18:12:07,https://twitter.com/statuses/1037403016503144453,,,
twitter,message,tweet,https://reply.buffer.com/conversations/W5AcA9lF2gABMbvi,inbound,,lemmelime (Ruan ),"""@MetroNerd88 @googlechrome Maybe yours is having an affair with another browser and just haven’t had a chance to update yet.
Explain yourself, @firefox!""","EN,Help Me",2018-09-05 18:10:10,2018-09-05 18:10:10,https://twitter.com/statuses/1037402523894730752,,,
