name,percentage,conversations
EN,50.55,1197
No Action Taken,6.42,152
Help Me,5.91,140
Fan Luv,5.49,130
NL,4.35,103
FR,2.87,68
Uncategorized,2.87,68
AoA,2.2,52
TR,2.15,51
firefox android,1.44,34
Android,1.44,34
Not Fan Luv,1.18,28
CZ,1.14,27
ES,1.1,26
Video,1.01,24
Pending,0.93,22
Firefox iOS,0.8,19
slow,0.76,18
Bookmarks,0.68,16
Press Release,0.55,13
Content Blocking,0.51,12
DE,0.46,11
WebDev,0.42,10
Controversial,0.38,9
Sync,0.38,9
RAM,0.38,9
Firefox Lite,0.3,7
PT-BR,0.25,6
cookies,0.21,5
Crashes,0.21,5
TrackingProtection,0.17,4
Firefox Focus,0.17,4
Enterprise,0.13,3
WebVR,0.13,3
VPN,0.13,3
webcompat,0.13,3
Add-ons,0.13,3
contains_photo,0.13,3
Firefox Rocket,0.13,3
Cert Issues,0.13,3
Blog,0.08,2
Privacy,0.08,2
update,0.08,2
russian,0.08,2
Nightly,0.08,2
Test Pilot,0.08,2
FireTV,0.08,2
IT,0.08,2
reality,0.08,2
Firefox Notes,0.04,1
feature request,0.04,1
Problems,0.04,1
facebook container,0.04,1
NetNeutrality,0.04,1
marketing,0.04,1
spam,0.04,1
Linux,0.04,1
Accessibility,0.04,1
Containers,0.04,1
monitor,0.04,1
playlistLive,0.04,1
Third Party Issues,0.04,1
