channel,source,type,convo,direction,user,contact,text,tags,convoCreatedAt,itemCreatedAt,external,firstReplyTimeSecs,firstReplyTimeMins
twitter,message,tweet,https://reply.buffer.com/conversations/WznMzXNtDgABPntq,inbound,,Loqui__ (Loqui),"""@firefox on the iOS app is there a way to SEARCH your history? I know you can get the app to display your history but I want to search it.""","TR,Help Me",2018-07-02 6:57:17,2018-07-02 6:57:17,https://twitter.com/statuses/1013677974535704576,,
twitter,message,tweet,https://reply.buffer.com/conversations/WzjhKZ1QtgABhOep,inbound,,Jessifer (Jesse Stommel),"""@tararobertson @firefox Downloading now!""","slow,EN,Help Me",2018-07-01 14:06:05,2018-07-01 15:37:15,https://twitter.com/statuses/1013446441489125384,,
twitter,message,tweet,https://reply.buffer.com/conversations/WzjhKZ1QtgABhOep,inbound,,Jessifer (Jesse Stommel),"""@tararobertson @firefox I know. I saw that and so smart that you can click on a specific box of content and it will automatically select it. Plus, the full page screenshot in addition to full screen 🙂""","slow,EN,Help Me",2018-07-01 14:06:05,2018-07-01 15:36:11,https://twitter.com/statuses/1013446174970404866,,
twitter,message,tweet,https://reply.buffer.com/conversations/WzjhKZ1QtgABhOep,inbound,,Jessifer (Jesse Stommel),"""@brandontlocke @tararobertson @firefox Firefox Focus = ♥️♥️""","slow,EN,Help Me",2018-07-01 14:06:05,2018-07-01 15:58:01,https://twitter.com/statuses/1013451669412212736,,
twitter,message,tweet,https://reply.buffer.com/conversations/Wzjdm1zbxAAB5NwL,inbound,,futbollfreaky (Jason),"""@Zetgel24 Bu eklentiyi @firefox uzun süre önce eklenti mağazasından kaldırmıştır. Browser parmak izine engel olmak için çeşitli eklentiler vardır. Bunlardan bir tanesi: https://t.co/yJpZbmZ7sx""","slow,EN,Help Me",2018-07-01 13:39:34,2018-07-01 13:39:34,https://twitter.com/statuses/1013416825676353536,,
twitter,message,tweet,https://reply.buffer.com/conversations/Wzjb75tvhwABlsEV,inbound,,futbollfreaky (Jason),"""@Zetgel24 #RequestPolicy @firefox'un yeni sürümlerinden kullanılamıyor. Onun yerine Umatrix kullanılabilir. https://t.co/9bx6x0ZGAQ Chrome'da da va bu eklenti.""","slow,EN,Help Me",2018-07-01 13:29:40,2018-07-01 13:29:40,https://twitter.com/statuses/1013414336235261952,,
twitter,message,tweet,https://reply.buffer.com/conversations/WzjPgKbRcgABcJaI,inbound,,marcos_placona (Marcos Placona 🇯🇵),"""@JamesLMilner @firefox @googlechrome I’d start with @misprintedtype and @slsoftworks and they’ll point you out towards the right people if they can’t help.""","PT-BR,Help Me",2018-07-01 12:49:32,2018-07-01 12:49:32,https://twitter.com/statuses/1013404234786725888,,
twitter,message,tweet,https://reply.buffer.com/conversations/WziDebrDmQABTe1J,inbound,,saskiadvies (belsas),"""tegelijkertijd streven naar een inwoner aantal van 1.000.000 inwoners :) @d66amsterdam https://t.co/nIobQRlgN4""","NL,Help Me",2018-07-01 6:22:44,2018-07-01 6:22:44,https://twitter.com/statuses/1013306895644360704,,
twitter,message,tweet,https://reply.buffer.com/conversations/WziDdbrDmQABTe02,inbound,,NicovanGog (Nico van Gog),"""Je ligt helemaal in een deuk. Uit het verkiezingsprogramma van @d66amsterdam 2014-2018 https://t.co/WRPUtrw8wu https://t.co/L33phAvMN8""","NL,Help Me",2018-07-01 6:21:33,2018-07-01 6:21:33,https://twitter.com/statuses/1013306596540256256,,
twitter,message,tweet,https://reply.buffer.com/conversations/WziBt9BTWwABEFpY,inbound,,Nalyr_ (Nalyr_),"""@firefox Twice as fast as what?""","NL,Help Me",2018-07-01 6:20:03,2018-07-01 6:20:03,https://twitter.com/statuses/1013306216896868354,,
twitter,message,tweet,https://reply.buffer.com/conversations/WziBzMT-fwABWsva,inbound,,Stin______ (Stin),"""@firefox OMEGALUL""","NL,Help Me",2018-07-01 6:16:30,2018-07-01 6:16:30,https://twitter.com/statuses/1013305324416262145,,
